,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
4447,0.916,0.662,9,-16.404,0,0.605,0.00464,0.00346,0.138,0.406,135.65,audio_features,4Fkr6zTAxsXbG9kG8ISqos,spotify:track:4Fkr6zTAxsXbG9kG8ISqos,https://api.spotify.com/v1/tracks/4Fkr6zTAxsXbG9kG8ISqos,https://api.spotify.com/v1/audio-analysis/4Fkr6zTAxsXbG9kG8ISqos,249267,4
4448,0.508,0.149,4,-18.458,1,0.0371,0.798,0.0,0.123,0.456,128.307,audio_features,1XXmM84Ssy1wpSehcVEFuh,spotify:track:1XXmM84Ssy1wpSehcVEFuh,https://api.spotify.com/v1/tracks/1XXmM84Ssy1wpSehcVEFuh,https://api.spotify.com/v1/audio-analysis/1XXmM84Ssy1wpSehcVEFuh,188360,4
4449,0.44,0.104,10,-18.625,1,0.0685,0.945,3.21e-06,0.186,0.214,89.869,audio_features,0Kl6MoQqbE2brrpdWcXrNe,spotify:track:0Kl6MoQqbE2brrpdWcXrNe,https://api.spotify.com/v1/tracks/0Kl6MoQqbE2brrpdWcXrNe,https://api.spotify.com/v1/audio-analysis/0Kl6MoQqbE2brrpdWcXrNe,113693,1
4450,0.776,0.866,10,-7.563,1,0.0438,0.00711,0.000266,0.0539,0.964,133.597,audio_features,4fFxkU9C7prSviiYtvlV8V,spotify:track:4fFxkU9C7prSviiYtvlV8V,https://api.spotify.com/v1/tracks/4fFxkU9C7prSviiYtvlV8V,https://api.spotify.com/v1/audio-analysis/4fFxkU9C7prSviiYtvlV8V,215733,4
4451,0.865,0.687,10,-3.744,0,0.217,0.242,0.0,0.158,0.486,139.023,audio_features,1rkfJLgTlB6XYNjgZ0sVaK,spotify:track:1rkfJLgTlB6XYNjgZ0sVaK,https://api.spotify.com/v1/tracks/1rkfJLgTlB6XYNjgZ0sVaK,https://api.spotify.com/v1/audio-analysis/1rkfJLgTlB6XYNjgZ0sVaK,242407,4
4452,0.744,0.758,2,-6.501,1,0.263,0.0141,1.22e-05,0.213,0.546,137.892,audio_features,13w7sJT2Xu6AN4gGj4wGv3,spotify:track:13w7sJT2Xu6AN4gGj4wGv3,https://api.spotify.com/v1/tracks/13w7sJT2Xu6AN4gGj4wGv3,https://api.spotify.com/v1/audio-analysis/13w7sJT2Xu6AN4gGj4wGv3,214258,4
4453,0.187,0.855,11,-4.316,0,0.0624,0.000531,0.0204,0.361,0.257,160.892,audio_features,0MHHAIjPAd3OSfBS3H0fPg,spotify:track:0MHHAIjPAd3OSfBS3H0fPg,https://api.spotify.com/v1/tracks/0MHHAIjPAd3OSfBS3H0fPg,https://api.spotify.com/v1/audio-analysis/0MHHAIjPAd3OSfBS3H0fPg,235400,3
4454,0.298,0.327,6,-16.515,0,0.031,0.00834,0.86,0.0724,0.454,175.898,audio_features,2uMqG8w8oi09fB2YA2QLOm,spotify:track:2uMqG8w8oi09fB2YA2QLOm,https://api.spotify.com/v1/tracks/2uMqG8w8oi09fB2YA2QLOm,https://api.spotify.com/v1/audio-analysis/2uMqG8w8oi09fB2YA2QLOm,257867,4
4455,0.68,0.763,9,-8.158,1,0.0908,0.0045,0.00462,0.106,0.385,105.902,audio_features,2yuSLHwPoOoB1zDuXnQnqZ,spotify:track:2yuSLHwPoOoB1zDuXnQnqZ,https://api.spotify.com/v1/tracks/2yuSLHwPoOoB1zDuXnQnqZ,https://api.spotify.com/v1/audio-analysis/2yuSLHwPoOoB1zDuXnQnqZ,312720,4
4456,0.431,0.626,5,-9.46,1,0.0319,0.547,6.14e-05,0.364,0.762,96.494,audio_features,40GFPBolcy0yucApV9uxq2,spotify:track:40GFPBolcy0yucApV9uxq2,https://api.spotify.com/v1/tracks/40GFPBolcy0yucApV9uxq2,https://api.spotify.com/v1/audio-analysis/40GFPBolcy0yucApV9uxq2,292440,4
