,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,speechiness_binned,danceability_binned,instrumentalness_binned
1001,0.614,0.721,0,-8.962,1,0.0322,0.000642,0.0817,0.16699999999999998,0.708,146.629,audio_features,5bxBosfOC3upyOK9tjxZ35,spotify:track:5bxBosfOC3upyOK9tjxZ35,https://api.spotify.com/v1/tracks/5bxBosfOC3upyOK9tjxZ35,https://api.spotify.com/v1/audio-analysis/5bxBosfOC3upyOK9tjxZ35,175907,4,0,1,0
1002,0.428,0.899,9,-10.716,1,0.0462,0.00609,0.0,0.27899999999999997,0.7240000000000001,135.248,audio_features,66hdYurKbEfP74fvWtR7mj,spotify:track:66hdYurKbEfP74fvWtR7mj,https://api.spotify.com/v1/tracks/66hdYurKbEfP74fvWtR7mj,https://api.spotify.com/v1/audio-analysis/66hdYurKbEfP74fvWtR7mj,221347,4,0,1,0
1003,0.713,0.6779999999999999,5,-3.525,0,0.102,0.273,0.0,0.149,0.7340000000000001,138.009,audio_features,7H6ev70Weq6DdpZyyTmUXk,spotify:track:7H6ev70Weq6DdpZyyTmUXk,https://api.spotify.com/v1/tracks/7H6ev70Weq6DdpZyyTmUXk,https://api.spotify.com/v1/audio-analysis/7H6ev70Weq6DdpZyyTmUXk,271333,4,0,2,0
1004,0.255,0.39299999999999996,5,-10.654000000000002,1,0.0278,0.0577,0.00361,0.113,0.11800000000000001,76.426,audio_features,10nyNJ6zNy2YVYLrcwLccB,spotify:track:10nyNJ6zNy2YVYLrcwLccB,https://api.spotify.com/v1/tracks/10nyNJ6zNy2YVYLrcwLccB,https://api.spotify.com/v1/audio-analysis/10nyNJ6zNy2YVYLrcwLccB,229120,4,0,0,0
1005,0.47200000000000003,0.456,9,-9.211,1,0.0555,0.9490000000000001,4.6899999999999995e-05,0.0811,0.8190000000000001,152.638,audio_features,1dtE4TnOtr7jxMB93IPS72,spotify:track:1dtE4TnOtr7jxMB93IPS72,https://api.spotify.com/v1/tracks/1dtE4TnOtr7jxMB93IPS72,https://api.spotify.com/v1/audio-analysis/1dtE4TnOtr7jxMB93IPS72,187115,4,0,1,0
1006,0.514,0.675,11,-10.966,0,0.0801,0.00426,0.267,0.105,0.0812,154.96200000000002,audio_features,7AvrJG89s3bVBWNqaLa8Le,spotify:track:7AvrJG89s3bVBWNqaLa8Le,https://api.spotify.com/v1/tracks/7AvrJG89s3bVBWNqaLa8Le,https://api.spotify.com/v1/audio-analysis/7AvrJG89s3bVBWNqaLa8Le,1262400,4,0,1,0
1007,0.434,0.652,9,-11.818,0,0.0366,0.0184,0.000851,0.27699999999999997,0.546,113.845,audio_features,7li50WNrVwtaQPdn7DbX7s,spotify:track:7li50WNrVwtaQPdn7DbX7s,https://api.spotify.com/v1/tracks/7li50WNrVwtaQPdn7DbX7s,https://api.spotify.com/v1/audio-analysis/7li50WNrVwtaQPdn7DbX7s,497333,4,0,1,0
1008,0.607,0.42200000000000004,10,-13.364,0,0.499,0.209,0.0,0.0839,0.563,130.47,audio_features,3vZO25GdYuqFrR1kzZADnp,spotify:track:3vZO25GdYuqFrR1kzZADnp,https://api.spotify.com/v1/tracks/3vZO25GdYuqFrR1kzZADnp,https://api.spotify.com/v1/audio-analysis/3vZO25GdYuqFrR1kzZADnp,226987,3,1,1,0
1009,0.349,0.6920000000000001,1,-11.690999999999999,1,0.0338,0.462,0.00266,0.19699999999999998,0.9520000000000001,179.396,audio_features,5cfYurP1XKldMBtvBBJiTs,spotify:track:5cfYurP1XKldMBtvBBJiTs,https://api.spotify.com/v1/tracks/5cfYurP1XKldMBtvBBJiTs,https://api.spotify.com/v1/audio-analysis/5cfYurP1XKldMBtvBBJiTs,288507,4,0,1,0
1010,0.66,0.446,5,-10.767000000000001,0,0.033,0.855,0.0216,0.306,0.748,93.01299999999999,audio_features,6wXZ56sKUCt8bicp8DJjmA,spotify:track:6wXZ56sKUCt8bicp8DJjmA,https://api.spotify.com/v1/tracks/6wXZ56sKUCt8bicp8DJjmA,https://api.spotify.com/v1/audio-analysis/6wXZ56sKUCt8bicp8DJjmA,151093,4,0,1,0
1011,0.524,0.478,7,-8.894,1,0.11800000000000001,0.406,0.0,0.74,0.843,137.13299999999998,audio_features,6TYR3IVgIwDK6ydc2EPEQq,spotify:track:6TYR3IVgIwDK6ydc2EPEQq,https://api.spotify.com/v1/tracks/6TYR3IVgIwDK6ydc2EPEQq,https://api.spotify.com/v1/audio-analysis/6TYR3IVgIwDK6ydc2EPEQq,166213,4,0,1,0
1012,0.878,0.84,6,-13.105,0,0.064,0.0421,0.0035,0.053,0.882,116.22200000000001,audio_features,7LoGfKBAaOl0nxhodJ1240,spotify:track:7LoGfKBAaOl0nxhodJ1240,https://api.spotify.com/v1/tracks/7LoGfKBAaOl0nxhodJ1240,https://api.spotify.com/v1/audio-analysis/7LoGfKBAaOl0nxhodJ1240,260000,4,0,2,0
1013,0.39,0.6940000000000001,7,-11.783,1,0.0399,0.00299,0.304,0.0757,0.795,115.197,audio_features,5G2g1EbEtFSMkMbAnhl7FV,spotify:track:5G2g1EbEtFSMkMbAnhl7FV,https://api.spotify.com/v1/tracks/5G2g1EbEtFSMkMbAnhl7FV,https://api.spotify.com/v1/audio-analysis/5G2g1EbEtFSMkMbAnhl7FV,235707,4,0,1,0
1014,0.8109999999999999,0.823,4,-5.921,0,0.0423,0.0553,4.52e-06,0.158,0.8270000000000001,106.929,audio_features,7L93GESzq43UkKUt5FsOCq,spotify:track:7L93GESzq43UkKUt5FsOCq,https://api.spotify.com/v1/tracks/7L93GESzq43UkKUt5FsOCq,https://api.spotify.com/v1/audio-analysis/7L93GESzq43UkKUt5FsOCq,218547,4,0,2,0
